VARIABLE="X","Y","DISPLACEMENT"
ZONE I=121, J=121, F=POINT
-300.0 	-275.0   -1.4375
-295.0 	-275.0   -1.14
-290.0 	-275.0   -0.8475
-285.0 	-275.0   -0.56
-280.0 	-275.0   -0.2775
-275.0 	-275.0   0
-270.0 	-275.0   0.2725
-265.0 	-275.0   0.54
-260.0 	-275.0   0.8025
-255.0 	-275.0   1.06
-250.0 	-275.0   1.3125
-245.0 	-275.0   1.56
-240.0 	-275.0   1.8025
-235.0 	-275.0   2.04
-230.0 	-275.0   2.2725
-225.0 	-275.0   2.5
-220.0 	-275.0   2.7225
-215.0 	-275.0   2.94
-210.0 	-275.0   3.1525
-205.0 	-275.0   3.36
-200.0 	-275.0   3.5625
-195.0 	-275.0   3.76
-190.0 	-275.0   3.9525
-185.0 	-275.0   4.14
-180.0 	-275.0   4.3225
-175.0 	-275.0   4.5
-170.0 	-275.0   4.6725
-165.0 	-275.0   4.84
-160.0 	-275.0   5.0025
-155.0 	-275.0   5.16
-150.0 	-275.0   5.3125
-145.0 	-275.0   5.46
-140.0 	-275.0   5.6025
-135.0 	-275.0   5.74
-130.0 	-275.0   5.8725
-125.0 	-275.0   6
-120.0 	-275.0   6.1225
-115.0 	-275.0   6.24
-110.0 	-275.0   6.3525
-105.0 	-275.0   6.46
-100.0 	-275.0   6.5625
-95.0 	-275.0   6.66
-90.0 	-275.0   6.7525
-85.0 	-275.0   6.84
-80.0 	-275.0   6.9225
-75.0 	-275.0   7
-70.0 	-275.0   7.0725
-65.0 	-275.0   7.14
-60.0 	-275.0   7.2025
-55.0 	-275.0   7.26
-50.0 	-275.0   7.3125
-45.0 	-275.0   7.36
-40.0 	-275.0   7.4025
-35.0 	-275.0   7.44
-30.0 	-275.0   7.4725
-25.0 	-275.0   7.5
-20.0 	-275.0   7.5225
-15.0 	-275.0   7.54
-10.0 	-275.0   7.5525
-5.0 	-275.0   7.56
0.0 	-275.0   7.5625
5.0 	-275.0   7.56
10.0 	-275.0   7.5525
15.0 	-275.0   7.54
20.0 	-275.0   7.5225
25.0 	-275.0   7.5
30.0 	-275.0   7.4725
35.0 	-275.0   7.44
40.0 	-275.0   7.4025
